Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
pump/pompa F8B-903 (10-21915-1),500135T,500235T,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F8B-903 (10-21915-2),500135T,500235T,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F8B-903 (10-24181-4),500135T,500235T,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F8B-905 (10-24130-3),500135T,500235T,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F8B-905 (10-24130-4),500135T,500235T,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B/F7B-9 (10-13064-1),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B/F7B-9 (10-13064-2),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-3000,500145GT, ,,High pressure/Alta pressione,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-3000 (10-13026-1),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-3000-TSS (10-13177-01),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-3007 (10-13026-7),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-303 (10-13026-2),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-3600 (10-13026-4),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-5 (10-13027-),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-5600 (10-13027-99),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-5600-TSS (10-13178-99),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-5607 (10-13027-98),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-13080-01),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-13095-01),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-13095-02),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-24072-1),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-24239-1),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-24239-2),500115T,,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-9 (10-24430-01),500145GT, ,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F9B-900 (10-24090-1),500115T,,,,JOHNSON PUMP,Inboard_Engines
